scenario,n_malicious,flip_frac,seed,accuracy,precision_macro,recall_macro,f1_macro,auroc,asr,dos_as_probe,f1_normal,f1_dos,f1_probe
URLF,0,0.5,11,0.8735,0.8638,0.8193,0.8365,0.9301,0.1762,0.0307,0.9045,0.8723,0.7326
FBPLF,0,0.5,11,0.8735,0.8638,0.8193,0.8365,0.9301,0.1762,0.0307,0.9045,0.8723,0.7326
URLF,10,0.5,11,0.863,0.8589,0.805,0.8248,0.935,0.2027,0.0295,0.8939,0.8617,0.7188
FBPLF,10,0.5,11,0.863,0.8555,0.8098,0.8267,0.9565,0.1958,0.0315,0.8951,0.8585,0.7265
URLF,20,0.5,11,0.8932,0.8823,0.8441,0.8602,0.9383,0.128,0.0177,0.9233,0.8894,0.7681
FBPLF,20,0.5,11,0.8808,0.876,0.8377,0.8528,0.9569,0.1608,0.0243,0.9116,0.8682,0.7785
URLF,30,0.5,11,0.8713,0.881,0.8221,0.8439,0.9604,0.1995,0.021,0.8986,0.8608,0.7723
FBPLF,30,0.5,11,0.8606,0.8658,0.823,0.8374,0.9668,0.2129,0.0252,0.8883,0.8445,0.7794
URLF,40,0.5,11,0.8727,0.8817,0.8223,0.8449,0.9543,0.1859,0.0154,0.9037,0.8561,0.7748
FBPLF,40,0.5,11,0.8694,0.8531,0.8412,0.8422,0.9659,0.171,0.0507,0.9034,0.8538,0.7693
URLF,50,0.5,11,0.878,0.8826,0.8346,0.8527,0.9608,0.1846,0.0241,0.9041,0.8682,0.7857
FBPLF,50,0.5,11,0.8657,0.8471,0.8347,0.8353,0.9647,0.1748,0.0605,0.9034,0.8485,0.7541
URLF,0,0.8,11,0.8735,0.8638,0.8193,0.8365,0.9301,0.1762,0.0307,0.9045,0.8723,0.7326
FBPLF,0,0.8,11,0.8735,0.8638,0.8193,0.8365,0.9301,0.1762,0.0307,0.9045,0.8723,0.7326
URLF,10,0.8,11,0.8584,0.8553,0.7999,0.82,0.9216,0.2124,0.0299,0.8888,0.8578,0.7132
FBPLF,10,0.8,11,0.8626,0.8547,0.7998,0.8202,0.9493,0.1982,0.0296,0.895,0.8641,0.7015
URLF,20,0.8,11,0.7325,0.7096,0.6529,0.6671,0.9073,0.1421,0.0058,0.7962,0.7197,0.4853
FBPLF,20,0.8,11,0.8801,0.8796,0.8296,0.8495,0.9522,0.1581,0.0173,0.9133,0.8655,0.7697
URLF,30,0.8,11,0.237,0.1026,0.2066,0.1334,0.3089,0.3467,0.0011,0.0129,0.3875,0.0
FBPLF,30,0.8,11,0.8549,0.8463,0.8224,0.8272,0.9634,0.1998,0.0546,0.8964,0.822,0.7632
URLF,40,0.8,11,0.2389,0.1889,0.2089,0.133,0.5103,0.3119,0.0013,0.0093,0.3864,0.0033
FBPLF,40,0.8,11,0.8543,0.8445,0.8165,0.8243,0.9619,0.1965,0.0497,0.8971,0.8226,0.7532
URLF,50,0.8,11,0.0833,0.0534,0.0723,0.0571,0.0824,0.7004,0.0365,0.0134,0.1534,0.0044
FBPLF,50,0.8,11,0.8383,0.8032,0.8513,0.8063,0.9573,0.1299,0.122,0.8942,0.8162,0.7085
URLF,0,1.0,11,0.8735,0.8638,0.8193,0.8365,0.9301,0.1762,0.0307,0.9045,0.8723,0.7326
FBPLF,0,1.0,11,0.8735,0.8638,0.8193,0.8365,0.9301,0.1762,0.0307,0.9045,0.8723,0.7326
URLF,10,1.0,11,0.8673,0.861,0.7969,0.8205,0.9283,0.199,0.026,0.8951,0.8808,0.6856
FBPLF,10,1.0,11,0.858,0.8567,0.8049,0.8234,0.9423,0.2119,0.0311,0.8898,0.8502,0.7304
URLF,20,1.0,11,0.811,0.7899,0.7903,0.79,0.8946,0.1425,0.0257,0.8434,0.7952,0.7315
FBPLF,20,1.0,11,0.8489,0.857,0.8086,0.8287,0.9493,0.1577,0.0087,0.8867,0.816,0.7835
URLF,30,1.0,11,0.0678,0.0722,0.0596,0.0647,0.105,0.7876,0.0438,0.0198,0.1689,0.0054
FBPLF,30,1.0,11,0.8417,0.8396,0.8349,0.8256,0.952,0.2162,0.0572,0.8874,0.7772,0.8121
URLF,40,1.0,11,0.0485,0.0671,0.0421,0.0505,0.0962,0.7672,0.0873,0.0248,0.1227,0.004
FBPLF,40,1.0,11,0.8363,0.8057,0.842,0.7995,0.9495,0.1485,0.1688,0.9131,0.7693,0.716
URLF,50,1.0,11,0.0711,0.1067,0.0726,0.0739,0.0747,0.7625,0.0688,0.0205,0.1159,0.0852
FBPLF,50,1.0,11,0.6504,0.6963,0.6899,0.5712,0.9035,0.1266,0.5918,0.8835,0.3834,0.4467
